,PERSON_ID,DISPLAY_FIRST_LAST,SCHOOL,BIRTHDATE,SEASON_EXP,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,201956,Omri Casspi,Maccabi Tel Aviv,1988-06-22T00:00:00,10,2009,1,23
0,1626161,Willie Cauley-Stein,Kentucky,1993-08-18T00:00:00,7,2015,1,6
0,1630551,Justin Champagnie,Pittsburgh,2001-06-29T00:00:00,1,Undrafted,Undrafted,Undrafted
0,2199,Tyson Chandler,                                   ,1982-10-02T00:00:00,20,2001,1,2
0,2735,Josh Childress,Stanford,1983-06-20T00:00:00,9,2004,1,6
0,1627737,Marquese Chriss,Washington,1997-07-02T00:00:00,6,2016,1,8
0,202091,Dionte Christmas,Temple,1986-09-15T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1626176,Rakeem Christmas,Syracuse,1991-12-01T00:00:00,3,2015,2,36
0,203902,Semaj Christon,Xavier,1992-11-01T00:00:00,2,2014,2,55
0,1630528,Josh Christopher,Arizona State,2001-12-08T00:00:00,1,2021,1,24
0,201947,Earl Clark,Louisville,1988-01-17T00:00:00,6,2009,1,14
0,1629634,Brandon Clarke,Gonzaga,1996-09-19T00:00:00,3,2019,1,21
0,203903,Jordan Clarkson,Missouri,1992-06-07T00:00:00,8,2014,2,46
0,1629651,Nic Claxton,Georgia,1999-04-17T00:00:00,3,2019,2,31
0,2049,Speedy Claxton,Hofstra,1978-05-08T00:00:00,8,2000,1,20
0,202708,Norris Cole,Cleveland State,1988-10-13T00:00:00,7,2011,1,28
0,2260,Jarron Collins,Stanford,1978-12-02T00:00:00,10,2001,2,52
0,2215,Jason Collins,Stanford,1978-12-02T00:00:00,13,2001,1,18
0,1628381,John Collins,Wake Forest,1997-09-23T00:00:00,5,2017,1,19
0,200776,Mardy Collins,Temple,1984-08-04T00:00:00,5,2006,1,29
0,202395,Sherron Collins,Kansas,1987-03-18T00:00:00,1,Undrafted,Undrafted,Undrafted
0,1628380,Zach Collins,Gonzaga,1997-11-19T00:00:00,4,2017,1,10
0,201954,Darren Collison,UCLA,1987-08-23T00:00:00,11,2009,1,21
0,2555,Nick Collison,Kansas,1980-10-26T00:00:00,15,2003,1,12
0,201144,Mike Conley,Ohio State,1987-10-11T00:00:00,15,2007,1,4
0,1626192,Pat Connaughton,Notre Dame,1993-01-06T00:00:00,7,2015,2,41
0,101215,Will Conroy,Washington,1982-12-08T00:00:00,3,Undrafted,Undrafted,Undrafted
0,2567,Brian Cook,Illinois,1980-12-04T00:00:00,10,2003,1,24
0,201161,Daequan Cook,Ohio State,1987-04-28T00:00:00,7,2007,1,21
0,2241,Omar Cook,St. John's,1982-01-28T00:00:00,3,2001,2,31
0,1626188,Quinn Cook,Duke,1993-03-23T00:00:00,6,Undrafted,Undrafted,Undrafted
0,1629076,Tyler Cook,Iowa,1997-09-23T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1630536,Sharife Cooper,Auburn,2001-06-11T00:00:00,1,2021,2,48
0,202326,DeMarcus Cousins,Kentucky,1990-08-13T00:00:00,11,2010,1,5
0,203496,Robert Covington,Tennessee State,1990-12-14T00:00:00,9,Undrafted,Undrafted,Undrafted
0,203459,Allen Crabbe,California,1992-04-09T00:00:00,7,2013,2,31
0,2037,Jamal Crawford,Michigan,1980-03-20T00:00:00,21,2000,1,8
0,201621,Joe Crawford,Kentucky,1986-06-17T00:00:00,2,2008,2,58
0,202348,Jordan Crawford,Xavier,1988-10-23T00:00:00,6,2010,1,27
0,201159,Javaris Crittenton,Georgia Tech,1987-12-31T00:00:00,3,2007,1,19
0,203109,Jae Crowder,Marquette,1990-07-06T00:00:00,10,2012,2,34
0,1629633,Jarrett Culver,Texas Tech,1999-02-20T00:00:00,3,2019,1,6
0,1630595,Cade Cunningham,Oklahoma State,2001-09-25T00:00:00,1,2021,1,1
0,201967,Dante Cunningham,Villanova,1987-04-22T00:00:00,11,2009,2,33
0,203099,Jared Cunningham,Oregon State,1991-05-22T00:00:00,5,2012,1,24
0,2201,Eddy Curry,Thornwood HS (IL),1982-12-05T00:00:00,11,2001,1,4
0,203552,Seth Curry,Duke,1990-08-23T00:00:00,8,Undrafted,Undrafted,Undrafted
0,201939,Stephen Curry,Davidson,1988-03-14T00:00:00,13,2009,1,7
0,2845,Erik Daniels,Kentucky,1982-04-01T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2605,Marquis Daniels,Auburn,1981-01-07T00:00:00,11,Undrafted,Undrafted,Undrafted
0,201176,Jermareo Davidson,Alabama,1984-11-15T00:00:00,3,2007,2,36
0,203561,Brandon Davies,Brigham Young,1991-07-25T00:00:00,2,Undrafted,Undrafted,Undrafted
0,203076,Anthony Davis,Kentucky,1993-03-11T00:00:00,10,2012,1,1
0,1627738,Deyonta Davis,Michigan State,1996-12-02T00:00:00,4,2016,2,31
0,202334,Ed Davis,North Carolina,1989-06-05T00:00:00,12,2010,1,13
0,76526,Johnny Davis,Dayton,1955-10-21T00:00:00,10,1976,2,22
0,1629056,Terence Davis,Mississippi,1997-05-16T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1626183,Branden Dawson,Michigan State,1993-02-01T00:00:00,2,2015,2,56
0,201948,Austin Daye,Gonzaga,1988-06-05T00:00:00,7,2009,1,15
0,201942,DeMar DeRozan,Southern California,1989-08-07T00:00:00,13,2009,1,9
0,203473,Dewayne Dedmon,Southern California,1989-08-12T00:00:00,9,Undrafted,Undrafted,Undrafted
0,1626155,Sam Dekker,Wisconsin,1994-05-06T00:00:00,5,2015,1,18
0,2736,Luol Deng,Duke,1985-04-16T00:00:00,16,2004,1,7
0,1628978,Donte DiVincenzo,Villanova,1997-01-31T00:00:00,4,2018,1,17
0,1629603,Mamadi Diakite,Virginia,1997-01-21T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1627767,Cheick Diallo,Kansas,1996-09-13T00:00:00,5,2016,2,33
0,1628977,Hamidou Diallo,Kentucky,1998-07-31T00:00:00,4,2018,2,45
0,101143,Travis Diener,Marquette,1982-03-01T00:00:00,6,2005,2,38
0,203476,Gorgui Dieng,Louisville,1990-01-18T00:00:00,9,2013,1,21
0,203915,Spencer Dinwiddie,Colorado,1993-04-06T00:00:00,8,2014,2,38
0,101113,Ike Diogu,Arizona State,1983-09-11T00:00:00,7,2005,1,9
0,2205,DeSagana Diop,No College,1982-01-30T00:00:00,13,2001,1,8
0,201595,Joey Dorsey,Memphis,1983-12-16T00:00:00,4,2008,2,33
0,1628416,Tyler Dorsey,Oregon,1996-02-18T00:00:00,3,2017,2,41
0,1629652,Luguentz Dort,Arizona State,1999-04-19T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1630245,Ayo Dosunmu,Illinois,2000-01-17T00:00:00,1,2021,2,38
0,1628422,Damyean Dotson,Houston,1994-05-06T00:00:00,5,2017,2,44
0,1629653,Devon Dotson,Kansas,1999-08-02T00:00:00,2,Undrafted,Undrafted,Undrafted
0,201962,Toney Douglas,Florida State,1986-03-16T00:00:00,8,2009,1,29
0,202220,Zabian Dowdell,Virginia Tech,1984-09-10T00:00:00,2,Undrafted,Undrafted,Undrafted
0,1628408,P.J. Dozier,South Carolina,1996-10-25T00:00:00,5,Undrafted,Undrafted,Undrafted
0,203083,Andre Drummond,Connecticut,1993-08-10T00:00:00,10,2012,1,9
0,201162,Jared Dudley,Boston College,1985-07-10T00:00:00,15,2007,1,22
0,2768,Chris Duhon,Duke,1982-08-31T00:00:00,10,2004,2,38
0,1630561,David Duke Jr.,Providence,1999-10-13T00:00:00,1,Undrafted,Undrafted,Undrafted
0,2399,Mike Dunleavy,Duke,1980-09-15T00:00:00,16,2002,1,3
0,76616,Mike Dunleavy,South Carolina,1954-03-21T00:00:00,11,1976,6,99
0,1627739,Kris Dunn,Providence,1994-03-18T00:00:00,6,2016,1,5
0,2648,Ronald Dupree,Louisiana State,1981-01-26T00:00:00,7,Undrafted,Undrafted,Undrafted
0,201142,Kevin Durant,Texas-Austin,1988-09-29T00:00:00,14,2007,1,2
0,1628979,Trevon Duval,Duke,1998-08-03T00:00:00,2,Undrafted,Undrafted,Undrafted
0,203921,Cleanthony Early,Wichita State,1991-04-17T00:00:00,3,2014,2,34
0,202365,Devin Ebanks,West Virginia,1989-10-28T00:00:00,4,2010,2,43
0,1629035,Carsen Edwards,Purdue,1998-03-12T00:00:00,3,2019,2,33
0,2451,Corsley Edwards,Central Connecticut State,1979-03-05T00:00:00,1,2002,2,57
0,2823,John Edwards,Kent State,1981-07-31T00:00:00,3,Undrafted,Undrafted,Undrafted
0,1630556,Kessler Edwards,Pepperdine,2000-08-09T00:00:00,1,2021,2,44
0,2064,Khalid El-Amin,Connecticut,1979-04-25T00:00:00,2,2000,2,34
0,1629604,CJ Elleby,Washington State,2000-06-16T00:00:00,2,2020,2,46
0,1627740,Henry Ellenson,Marquette,1997-01-13T00:00:00,5,2016,1,18
0,201961,Wayne Ellington,North Carolina,1987-11-29T00:00:00,13,2009,1,28
0,101145,Monta Ellis,No College,1985-10-26T00:00:00,13,2005,2,40
0,2408,Melvin Ely,Fresno State,1978-05-02T00:00:00,9,2002,1,12
0,2765,Andre Emmett,Texas Tech,1982-08-27T00:00:00,3,2004,2,35
0,203119,Kim English,Missouri,1988-09-24T00:00:00,2,2012,2,44
0,203898,Tyler Ennis,Syracuse,1994-08-24T00:00:00,4,2014,1,18
0,1628980,Jacob Evans,Cincinnati,1997-06-18T00:00:00,3,2018,1,28
0,1628393,Jawun Evans,Oklahoma State,1996-07-26T00:00:00,3,2017,2,39
0,2230,Maurice Evans,Texas,1978-11-08T00:00:00,10,Undrafted,Undrafted,Undrafted
0,2501,Reggie Evans,Iowa,1980-05-18T00:00:00,13,Undrafted,Undrafted,Undrafted
0,201936,Tyreke Evans,Memphis,1989-09-19T00:00:00,10,2009,1,4
0,203957,Dante Exum,                                   ,1995-07-13T00:00:00,7,2014,1,5
0,203105,Festus Ezeli,Vanderbilt,1989-10-21T00:00:00,4,2012,1,30
0,1629605,Tacko Fall,UCF,1995-12-10T00:00:00,3,Undrafted,Undrafted,Undrafted
0,202702,Kenneth Faried,Morehead State,1989-11-19T00:00:00,9,2011,1,22
0,200770,Jordan Farmar,UCLA,1986-11-30T00:00:00,10,2006,1,26
0,2824,Desmon Farmer,Southern California,1981-10-07T00:00:00,2,Undrafted,Undrafted,Undrafted
0,202324,Derrick Favors,Georgia Tech,1991-07-15T00:00:00,12,2010,1,3
0,1627770,Kay Felder,Oakland,1995-03-29T00:00:00,3,2016,2,54
0,203467,Carrick Felix,Arizona State,1990-08-17T00:00:00,2,2013,2,33
0,101109,Raymond Felton,North Carolina,1984-06-26T00:00:00,15,2005,1,5
0,1628390,Terrance Ferguson,Adelaide,1998-05-17T00:00:00,4,2017,1,21
0,201164,Rudy Fernandez,DKV Joventut,1985-04-04T00:00:00,5,2007,1,24
0,1628981,Bruno Fernando,Maryland,1998-08-15T00:00:00,3,2019,2,34
0,1627827,Dorian Finney-Smith,Florida,1993-05-04T00:00:00,6,Undrafted,Undrafted,Undrafted
0,2784,Luis Flores,Manhattan,1981-04-11T00:00:00,2,2004,2,55
0,201938,Jonny Flynn,Syracuse,1989-02-06T00:00:00,4,2009,1,6
0,201814,Gary Forbes,Massachusetts,1985-02-25T00:00:00,3,Undrafted,Undrafted,Undrafted
0,2228,Alton Ford,Houston,1981-05-29T00:00:00,4,2001,2,50
0,101213,Sharrod Ford,Clemson,1982-01-09T00:00:00,1,Undrafted,Undrafted,Undrafted
0,2551,T.J. Ford,Texas-Austin,1983-03-24T00:00:00,8,2003,1,8
0,1630235,Trent Forrest,Florida State,1998-06-12T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2218,Joseph Forte,North Carolina,1981-03-23T00:00:00,3,2001,1,21
0,2238,Antonis Fotsis,Panathinaikos,1981-04-01T00:00:00,1,2001,2,47
0,200751,Randy Foye,Villanova,1983-09-24T00:00:00,12,2006,1,7
0,203479,Jamaal Franklin,San Diego State,1991-07-21T00:00:00,3,2013,2,41
0,1628982,Melvin Frazier,Tulane,1996-08-30T00:00:00,4,2018,2,35
0,1626187,Michael Frazier II,Florida,1994-03-08T00:00:00,2,Undrafted,Undrafted,Undrafted
0,2782,Matt Freije,Vanderbilt,1981-10-02T00:00:00,3,2004,2,53
0,101112,Channing Frye,Arizona,1983-05-17T00:00:00,14,2005,1,8
0,1628365,Markelle Fultz,Washington,1998-05-29T00:00:00,5,2017,1,1
0,1629655,Daniel Gafford,Arkansas,1998-10-01T00:00:00,3,2019,2,38
0,101184,Deng Gai,Fairfield,1982-03-22T00:00:00,1,Undrafted,Undrafted,Undrafted
0,101128,Francisco Garcia,Louisville,1981-12-31T00:00:00,10,2005,1,23
0,1629636,Darius Garland,Vanderbilt,2000-01-26T00:00:00,3,2019,1,5
0,1630568,Luka Garza,Iowa,1998-12-27T00:00:00,1,2021,2,52
0,200752,Rudy Gay,Connecticut,1986-08-17T00:00:00,16,2006,1,8
0,1627771,Michael Gbinije,Syracuse,1992-06-05T00:00:00,2,2016,2,49
0,202331,Paul George,Fresno State,1990-05-02T00:00:00,12,2010,1,10
0,201959,Taj Gibson,USC,1985-06-24T00:00:00,14,2009,1,26
0,201592,J.R. Giddens,New Mexico,1985-02-13T00:00:00,3,2008,1,30
0,1628983,Shai Gilgeous-Alexander,Kentucky,1998-07-12T00:00:00,4,2018,1,11
0,2109,Eddie Gill,Weber State,1978-08-16T00:00:00,8,Undrafted,Undrafted,Undrafted
0,203497,Rudy Gobert,Cholet,1992-06-26T00:00:00,9,2013,1,27
0,101155,Ryan Gomes,Providence,1982-09-01T00:00:00,8,2005,2,50
0,2400,Drew Gooden,Kansas,1981-09-24T00:00:00,15,2002,1,4
0,203462,Archie Goodwin,Kentucky,1994-08-17T00:00:00,5,2013,1,29
0,203932,Aaron Gordon,Arizona,1995-09-16T00:00:00,8,2014,1,4
0,2732,Ben Gordon,Connecticut,1983-04-04T00:00:00,12,2004,1,3
